"population","n","simulated_mean","simulated_sd","theoretical_mean","theoretical_sd","mean_error","sd_ratio","skewness","excess_kurtosis","qq_correlation","qq_rmse","normal_enough","stable_pass"
"Standard Normal",2,0.00762030254602326,0.708560723443816,0,0.707106781186547,0.00762030254602326,1.00205618485914,0.00179639218693783,0.051372152346473,0.999918006775836,0.012804986837015,TRUE,TRUE
"Standard Normal",5,0.00318715318573977,0.447546158970669,0,0.447213595499958,0.00318715318573977,1.00074363452734,0.0109803963339268,0.00108190113675954,0.999943366294841,0.0106421112101974,TRUE,TRUE
"Standard Normal",10,0.00185430232016698,0.315648299073303,0,0.316227766016838,0.00185430232016698,0.998167564629654,0.00616539245506943,-0.0523102794757548,0.999937643030189,0.011166903466702,TRUE,TRUE
"Standard Normal",15,0.00284763076422881,0.257208893689023,0,0.258198889747161,0.00284763076422881,0.996165761754018,-0.0183401827163621,-0.0152102038724449,0.999906268489566,0.0136909290489625,TRUE,TRUE
"Standard Normal",20,0.00335010138045786,0.22251160373336,0,0.223606797749979,0.00335010138045786,0.995102143460579,0.0158472357594935,-0.00968424273299151,0.99991257303859,0.013222477160195,TRUE,TRUE
"Standard Normal",30,0.000834561170103478,0.182022379103729,0,0.182574185835055,0.000834561170103478,0.996977630058695,-0.0131690829986037,-0.067527574858957,0.999920221568279,0.0126308596955267,TRUE,TRUE
"Standard Normal",40,0.000218092861237101,0.156789047613946,0,0.158113883008419,0.000218092861237101,0.991621005257318,-0.0314574926140182,-0.00901448225946933,0.999919402196009,0.012695557143359,TRUE,TRUE
"Standard Normal",50,-0.0005829521317716,0.140397463250114,0,0.14142135623731,-0.0005829521317716,0.992759983255446,-0.000705006884880626,0.0204724723719187,0.999916336325464,0.0129347671513937,TRUE,TRUE
"Standard Normal",75,-0.000382630509757611,0.115255369296091,0,0.115470053837925,-0.000382630509757611,0.998140777329719,-0.00566762217406601,0.0412784398797217,0.999848022402541,0.0174333073293365,TRUE,TRUE
"Standard Normal",100,-0.000679545823984505,0.100108728807997,0,0.1,-0.000679545823984505,1.00108728807997,0.00727058702333811,-0.0410126232338315,0.999930140488918,0.0118196055626648,TRUE,TRUE
"Standard Normal",150,0.000158925490261744,0.08181623602002,0,0.0816496580927726,0.000158925490261744,1.00204015462083,-0.00373302648747218,0.000222294783682297,0.999960903955567,0.0088421307783925,TRUE,TRUE
"Standard Normal",200,0.000237655054901928,0.0705802470327419,0,0.0707106781186548,0.000237655054901928,0.998155425893469,0.0123483835565728,-0.110507083137361,0.999885901413711,0.0151053290800776,TRUE,TRUE
"Standard Normal",300,0.0002072678483373,0.0580069320953845,0,0.0577350269189626,0.0002072678483373,1.00470953580404,-0.017201906088581,-0.0154186572131838,0.999904842650522,0.0137946687402633,TRUE,FALSE
"Standard Normal",500,-0.000401068902171289,0.0444720787960872,0,0.0447213595499958,-0.000401068902171289,0.99442591288778,-0.0113322886272203,0.0539971620890349,0.999842359299721,0.0177551428256644,TRUE,FALSE
"Continuous Uniform",2,0.498788466338197,0.2021686838047,0.5,0.204124145231931,-0.00121153366180349,0.990420234583176,-0.0171515752057375,-0.60289557230168,0.996314312590374,0.0858517345657686,FALSE,FALSE
"Continuous Uniform",5,0.499611334457905,0.129424040387902,0.5,0.129099444873581,-0.00038866554209499,1.00251430604244,0.0112665042747322,-0.237448341060835,0.999612636917164,0.0278322939598363,TRUE,TRUE
"Continuous Uniform",10,0.499546410393254,0.0904787454151196,0.5,0.0912870929175277,-0.000453589606746074,0.991144996772563,0.018705549712633,-0.124652179404102,0.999826923839058,0.018604097356749,TRUE,TRUE
"Continuous Uniform",15,0.499736453464633,0.0743523752318745,0.5,0.074535599249993,-0.000263546535366532,0.997541791842258,-0.0084050709704346,-0.0551014069367688,0.99994026096837,0.0109299800456243,TRUE,TRUE
"Continuous Uniform",20,0.499826310448714,0.0648588927646178,0.5,0.0645497224367903,-0.000173689551285938,1.00478964612327,0.00290467971904757,-0.0671453926763577,0.999923373887897,0.0123788007685859,TRUE,TRUE
"Continuous Uniform",30,0.500702183715098,0.0528094909686927,0.5,0.052704627669473,0.000702183715098115,1.00198964121096,-0.0148565609617446,-0.0551588127954545,0.999919634026332,0.0126772853675155,TRUE,TRUE
"Continuous Uniform",40,0.501018977136625,0.0454714178603312,0.5,0.0456435464587638,0.00101897713662535,0.996228851353867,0.0173107619843857,0.0269593089149724,0.999927206484661,0.0120652560580384,TRUE,TRUE
