"population","smallest_n_judged_normal","skewness_at_selected_n","excess_kurtosis_at_selected_n","qq_correlation_at_selected_n","qq_rmse_at_selected_n","conclusion"
"Standard Normal",2,0.00179639218693783,0.051372152346473,0.999918006775836,0.012804986837015,"First stable pass at n = 2"
"Continuous Uniform",5,0.0112665042747322,-0.237448341060835,0.999612636917164,0.0278322939598363,"First stable pass at n = 5"
"Six-Sided Die",10,-0.00521605780521792,-0.125952926677718,0.998439892177811,0.0558556541013218,"First stable pass at n = 10"
"Exponential(rate = 1)",100,0.18926599705712,0.0647568262699689,0.998916126678899,0.0465563694489869,"First stable pass at n = 100"
"Poisson(lambda = 1)",30,0.142253744091351,-0.00749092628474868,0.997931101915092,0.064321976239948,"First stable pass at n = 30"
"Binomial(size = 5, p = .10)",50,0.157669807271591,-0.00844463432889064,0.997374105342818,0.072465030180569,"First stable pass at n = 50"
"Binomial(size = 20, p = .50)",5,0.00461795200555754,0.085747900509781,0.998241923546115,0.0592937218241609,"First stable pass at n = 5"
"Cauchy(location = 0, scale = 1)",NA,87.4611799860893,8213.51476718596,0.0934939503676615,1.3464033096235,"No stable n met all criteria in the investigated range."
"Dependent machine-failure process",NA,0.282329923835067,0.124592404879941,0.997719382823641,0.0675329971979178,"No stable n met all criteria in the investigated range."
"Non-identical Bernoulli process",75,-0.105443093027478,-0.00188465254391845,0.996799842170438,0.0799973359982073,"First stable pass at n = 75"
"Custom age-at-death mixture",30,-0.146777499340208,-0.0189761884566337,0.999314148858623,0.0370343554277826,"First stable pass at n = 30"
