"population","smallest_n_judged_normal","skewness_at_selected_n","excess_kurtosis_at_selected_n","qq_correlation_at_selected_n","qq_rmse_at_selected_n","conclusion"
"Standard Normal",2,0.00982317050232365,-0.0658402609699387,0.999914922125459,0.0130436296058672,"First stable pass at n = 2"
"Continuous Uniform",5,0.0333443318649713,-0.197423232680329,0.999695850983258,0.0246622738819197,"First stable pass at n = 5"
"Six-Sided Die",6,0.0088874357653028,-0.26198419447316,0.997201525825838,0.0748084193811373,"First stable pass at n = 6"
"Exponential(rate = 1)",100,0.199454292157563,0.0767851193082936,0.998830733918658,0.0483555710686473,"First stable pass at n = 100"
"Poisson(lambda = 1)",25,0.180285024926378,0.0863870062508689,0.997370629208954,0.0725129785668505,"First stable pass at n = 25"
"Binomial(size = 5, p = .10)",41,0.162094870922308,0.0664498980676251,0.996865860846883,0.079167870529356,"First stable pass at n = 41"
"Binomial(size = 20, p = .50)",3,0.0210402880979827,0.00224226360881508,0.99716485727118,0.0752969336409962,"First stable pass at n = 3"
"Cauchy(location = 0, scale = 1)",NA,87.3804109414002,8205.48366719372,0.0936565498322764,1.34628255241768,"No stable n met all criteria in the investigated range."
"Dependent machine-failure process",NA,0.227327406825009,0.136022304702872,0.998485510017276,0.0550329809789606,"No stable n met all criteria in the investigated range."
"Non-identical Bernoulli process",54,0.0257110876227522,-0.0308694131300333,0.99681347441622,0.079826765164721,"First stable pass at n = 54"
"Two-component mixture",54,0.190766179495954,0.0444935508126569,0.998935322007394,0.0461422727103245,"First stable pass at n = 54"
